"key","message","comment","context"
"Invoice must be confirmed before posting.","La factura debe estar confirmada antes de contabilizarse.",,""
"Invoice has no document number.","La factura todavía no tiene número documental.",,""
"Confirmed invoice totals are inconsistent.","Los totales confirmados de la factura no son consistentes.",,""
"Invoice posting was reversed.","La contabilización de esta factura fue reversada.",,""
"A draft journal entry already exists for this invoice.","Ya existe un asiento contable en borrador para esta factura.",,""
"Journal entry source document number does not match the invoice.","El número documental del asiento no coincide con la factura.",,""
"Invoice does not have a journal entry yet.","La factura todavía no tiene un asiento contable.",,""
"Sales invoice posting plan is not balanced.","El asiento generado para la factura no está cuadrado.",,""
"Posted invoice accounting must be reversed before cancellation.","La factura contabilizada debe reversarse antes de cancelarse.",,""
"You do not have permission for this accounting action.","No tiene permiso para ejecutar esta acción contable.",,""
"Invoice accounting is inconsistent.","La contabilidad de la factura es inconsistente.",,""
